Group,Program,Preferred ID,Facility name,Sys Loc Code,Loc Name,Loc Type,Latitude,Longitude,Sys Sample Code,Sample date,Medium,Matrix,Analyte,Analyte Short Name,CAS,Detect Flag,Result text,Result numeric,Unit,Lab Qualifiers,Detect description,Method Detection Limit,Reporting Detection Limit,Approval code,Fraction,Dilution factor,Result type code,Analytic method,AI ID,AI name,Address,City,State,Zip Code,County
Manufacturing and industrial facilities,Wastewater,MNP067091,ABA Water Systems Inc MNP067091,FA00961,Process water discharge,,44.165288,-92.169358,FA00961.2305031140.000S,2023-05-03,Water,Wtr-Surf,2-(N-methylperfluoro-1-octanesulfonamido)-ethanol,N-MeFOSE,24448-09-7,N,<5.32,,ng/L,<,Below Method Detection Limit,5.32,20.0,Prelim,Total,2.0,TRG,8327,46285.0,ABA Water Systems Inc,226 W Broadway,Plainview,MN,55964-1254,Wabasha
Manufacturing and industrial facilities,Wastewater,MNP067091,ABA Water Systems Inc MNP067091,FA00961,Process water discharge,,44.165288,-92.169358,FA00961.2305031140.000S,2023-05-03,Water,Wtr-Surf,Perfluorobutanoic acid,PFBA,375-22-4,Y,36.9,36.9,ng/L,,,2.91,10.0,Prelim,Total,2.0,TRG,8327,46285.0,ABA Water Systems Inc,226 W Broadway,Plainview,MN,55964-1254,Wabasha
Manufacturing and industrial facilities,Wastewater,MNP067091,ABA Water Systems Inc MNP067091,FA00961,Process water discharge,,44.165288,-92.169358,FA00961.2305031140.000S,2023-05-03,Water,Wtr-Surf,Perfluorobutanesulfonic acid,PFBS,375-73-5,N,<0.28,,ng/L,<,Below Method Detection Limit,0.28,4.0,Prelim,Total,2.0,TRG,8327,46285.0,ABA Water Systems Inc,226 W Broadway,Plainview,MN,55964-1254,Wabasha
Manufacturing and industrial facilities,Wastewater,MNP067091,ABA Water Systems Inc MNP067091,FA00961,Process water discharge,,44.165288,-92.169358,FA00961.2305031140.000S,2023-05-03,Water,Wtr-Surf,Perfluorodecanoic acid,PFDA,335-76-2,N,<1.52,,ng/L,<,Below Method Detection Limit,1.52,4.0,Prelim,Total,2.0,TRG,8327,46285.0,ABA Water Systems Inc,226 W Broadway,Plainview,MN,55964-1254,Wabasha
Manufacturing and industrial facilities,Wastewater,MNP067091,ABA Water Systems Inc MNP067091,FA00961,Process water discharge,,44.165288,-92.169358,FA00961.2305031140.000S,2023-05-03,Water,Wtr-Surf,Perfluorododecanoic acid,PFDoA,307-55-1,N,<2.06,,ng/L,<,Below Method Detection Limit,2.06,4.0,Prelim,Total,2.0,TRG,8327,46285.0,ABA Water Systems Inc,226 W Broadway,Plainview,MN,55964-1254,Wabasha
Manufacturing and industrial facilities,Wastewater,MNP067091,ABA Water Systems Inc MNP067091,FA00961,Process water discharge,,44.165288,-92.169358,FA00961.2305031140.000S,2023-05-03,Water,Wtr-Surf,Perfluorododecanesulfonic acid,PFDoS,79780-39-5,N,<2.32,,ng/L,<,Below Method Detection Limit,2.32,4.0,Prelim,Total,2.0,TRG,8327,46285.0,ABA Water Systems Inc,226 W Broadway,Plainview,MN,55964-1254,Wabasha
Manufacturing and industrial facilities,Wastewater,MNP067091,ABA Water Systems Inc MNP067091,FA00961,Process water discharge,,44.165288,-92.169358,FA00961.2305031140.000S,2023-05-03,Water,Wtr-Surf,Perfluorodecanesulfonic acid,PFDS,335-77-3,N,<0.98,,ng/L,<,Below Method Detection Limit,0.98,4.0,Prelim,Total,2.0,TRG,8327,46285.0,ABA Water Systems Inc,226 W Broadway,Plainview,MN,55964-1254,Wabasha
Manufacturing and industrial facilities,Wastewater,MNP067091,ABA Water Systems Inc MNP067091,FA00961,Process water discharge,,44.165288,-92.169358,FA00961.2305031140.000S,2023-05-03,Water,Wtr-Surf,Perfluoroheptanoic acid,PFHpA,375-85-9,Y,4.2,4.2,ng/L,,,0.82,4.0,Prelim,Total,2.0,TRG,8327,46285.0,ABA Water Systems Inc,226 W Broadway,Plainview,MN,55964-1254,Wabasha
Manufacturing and industrial facilities,Wastewater,MNP067091,ABA Water Systems Inc MNP067091,FA00961,Process water discharge,,44.165288,-92.169358,FA00961.2305031140.000S,2023-05-03,Water,Wtr-Surf,Perfluoroheptanesulfonic acid,PFHpS,375-92-8,N,<0.45,,ng/L,<,Below Method Detection Limit,0.45,4.0,Prelim,Total,2.0,TRG,8327,46285.0,ABA Water Systems Inc,226 W Broadway,Plainview,MN,55964-1254,Wabasha
Manufacturing and industrial facilities,Wastewater,MNP067091,ABA Water Systems Inc MNP067091,FA00961,Process water discharge,,44.165288,-92.169358,FA00961.2305031140.000S,2023-05-03,Water,Wtr-Surf,Perfluorohexanoic acid,PFHxA,307-24-4,Y,20.4,20.4,ng/L,,,0.96,4.0,Prelim,Total,2.0,TRG,8327,46285.0,ABA Water Systems Inc,226 W Broadway,Plainview,MN,55964-1254,Wabasha
