unnamed: 0,unnamed: 0.2,unnamed: 0.1,group,program,preferred id,facility name,sys loc code,loc name,loc type,latitude,longitude,sys sample code,sample date,medium,matrix,analyte,analyte short name,cas,detect flag,result text,result numeric,unit,lab qualifiers,detect description,method detection limit,reporting detection limit,approval code,fraction,dilution factor,result type code,analytic method,ai id,ai name,address,city,state,zip code,county
32,32,32,Manufacturing and industrial facilities,Wastewater,MNP067091,ABA Water Systems Inc MNP067091,FA00961,Process water discharge,,44.165288,-92.169358,FA00961.2305031140.000S,5/3/2023,Water,Wtr-Surf,Perfluoroundecanoic acid,PFUnA,2058-94-8,N,<0.81,,ng/L,<,Below Method Detection Limit,0.81,4.0,Prelim,Total,2,TRG,8327,46285,ABA Water Systems Inc,226 W Broadway,Plainview,MN,55964-1254,Wabasha
33,33,33,Manufacturing and industrial facilities,Wastewater,MNP067091,ABA Water Systems Inc MNP067091,FA00961,Process water discharge,,44.165288,-92.169358,FA00961.2306011050.000S,6/1/2023,Water,Wtr-Surf,11-chloroeicosafluoro-3-oxaundecane-1-sulfonic acid,11Cl-PF3OUdS,763051-92-9,N,<1.58,,ng/L,<,Below Method Detection Limit,1.58,4.0,Prelim,Total,2,TRG,8327,46285,ABA Water Systems Inc,226 W Broadway,Plainview,MN,55964-1254,Wabasha
34,34,34,Manufacturing and industrial facilities,Wastewater,MNP067091,ABA Water Systems Inc MNP067091,FA00961,Process water discharge,,44.165288,-92.169358,FA00961.2306011050.000S,6/1/2023,Water,Wtr-Surf,FtS 4:2 acid,4:2 FtS,757124-72-4,N,<2.24,,ng/L,<,Below Method Detection Limit,2.24,8.0,Prelim,Total,2,TRG,8327,46285,ABA Water Systems Inc,226 W Broadway,Plainview,MN,55964-1254,Wabasha
35,35,35,Manufacturing and industrial facilities,Wastewater,MNP067091,ABA Water Systems Inc MNP067091,FA00961,Process water discharge,,44.165288,-92.169358,FA00961.2306011050.000S,6/1/2023,Water,Wtr-Surf,FtS 6:2 acid,6:2 FtS,27619-97-2,Y,12.6,12.6,ng/L,,,3.37,8.0,Prelim,Total,2,TRG,8327,46285,ABA Water Systems Inc,226 W Broadway,Plainview,MN,55964-1254,Wabasha
36,36,36,Manufacturing and industrial facilities,Wastewater,MNP067091,ABA Water Systems Inc MNP067091,FA00961,Process water discharge,,44.165288,-92.169358,FA00961.2306011050.000S,6/1/2023,Water,Wtr-Surf,FtS 8:2 acid,8:2 FtS,39108-34-4,N,<4.47,,ng/L,<,Below Method Detection Limit,4.47,8.0,Prelim,Total,2,TRG,8327,46285,ABA Water Systems Inc,226 W Broadway,Plainview,MN,55964-1254,Wabasha
37,37,37,Manufacturing and industrial facilities,Wastewater,MNP067091,ABA Water Systems Inc MNP067091,FA00961,Process water discharge,,44.165288,-92.169358,FA00961.2306011050.000S,6/1/2023,Water,Wtr-Surf,9-chlorohexadecafluoro-3-oxanone-1-sulfonic acid,9Cl-PF3ONS,756426-58-1,N,<0.93,,ng/L,<,Below Method Detection Limit,0.93,4.0,Prelim,Total,2,TRG,8327,46285,ABA Water Systems Inc,226 W Broadway,Plainview,MN,55964-1254,Wabasha
38,38,38,Manufacturing and industrial facilities,Wastewater,MNP067091,ABA Water Systems Inc MNP067091,FA00961,Process water discharge,,44.165288,-92.169358,FA00961.2306011050.000S,6/1/2023,Water,Wtr-Surf,"4,8-Dioxa-3H-perfluorononanoic acid",ADONA,919005-14-4,N,<0.73,,ng/L,<,Below Method Detection Limit,0.73,4.0,Prelim,Total,2,TRG,8327,46285,ABA Water Systems Inc,226 W Broadway,Plainview,MN,55964-1254,Wabasha
39,39,39,Manufacturing and industrial facilities,Wastewater,MNP067091,ABA Water Systems Inc MNP067091,FA00961,Process water discharge,,44.165288,-92.169358,FA00961.2306011050.000S,6/1/2023,Water,Wtr-Surf,N-ethyl perfluorooctanesulfonamidoacetic acid,EtFOSAA,2991-50-6,N,<1.26,,ng/L,<,Below Method Detection Limit,1.26,4.0,Prelim,Total,2,TRG,8327,46285,ABA Water Systems Inc,226 W Broadway,Plainview,MN,55964-1254,Wabasha
40,40,40,Manufacturing and industrial facilities,Wastewater,MNP067091,ABA Water Systems Inc MNP067091,FA00961,Process water discharge,,44.165288,-92.169358,FA00961.2306011050.000S,6/1/2023,Water,Wtr-Surf,Hexafluoropropylene oxide dimer acid,HFPO-DA,13252-13-6,N,<2.34,,ng/L,<,Below Method Detection Limit,2.34,4.0,Prelim,Total,2,TRG,8327,46285,ABA Water Systems Inc,226 W Broadway,Plainview,MN,55964-1254,Wabasha
41,41,41,Manufacturing and industrial facilities,Wastewater,MNP067091,ABA Water Systems Inc MNP067091,FA00961,Process water discharge,,44.165288,-92.169358,FA00961.2306011050.000S,6/1/2023,Water,Wtr-Surf,N-methyl perfluorooctanesulfonamidoacetic acid,MeFOSAA,2355-31-9,N,<1.02,,ng/L,<,Below Method Detection Limit,1.02,4.0,Prelim,Total,2,TRG,8327,46285,ABA Water Systems Inc,226 W Broadway,Plainview,MN,55964-1254,Wabasha
